base_model,dc_solution,OR,OR_l95,OR_u95
mistral,DC-DC converter,1.2558989554704345,NA,NA
mistral,DC connectors,1.2558989554704345,NA,NA
mistral,DC measurement device,1.2558989554704345,NA,NA
mistral,DC solution design tool,1.2558989554704345,NA,NA
mistral,LVAC-LVDC interlink converter,1.2558989554704345,NA,NA
mistral,Network design tool for DC solutions,1.2558989554704345,NA,NA
mistral,Protection DC system design tool,1.2558989554704345,NA,NA
mistral,Semiconductor-based circuit breaker,1.2558989554704345,NA,NA
mistral,Smart and sustainable DC cables,1.2558989554704345,NA,NA
mistral,Solid-state circuit breaker,1.2558989554704345,NA,NA
mistral,Static protection system,1.2558989554704345,NA,NA
