base_model,dc_solution,OR,OR_l95,OR_u95
phi4,DC-DC converter,9.822634203180627e-25,NA,NA
phi4,DC connectors,9.822634203180627e-25,NA,NA
phi4,DC measurement device,9.822634203180627e-25,NA,NA
phi4,DC solution design tool,9.822634203180627e-25,NA,NA
phi4,LVAC-LVDC interlink converter,9.822634203180627e-25,NA,NA
phi4,Network design tool for DC solutions,9.822634203180627e-25,NA,NA
phi4,Protection DC system design tool,9.822634203180627e-25,NA,NA
phi4,Semiconductor-based circuit breaker,9.822634203180627e-25,NA,NA
phi4,Smart and sustainable DC cables,9.822634203180627e-25,NA,NA
phi4,Solid-state circuit breaker,9.822634203180627e-25,NA,NA
phi4,Static protection system,9.822634203180627e-25,NA,NA
